title;url;date_time
The House by the Lake;https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html;2020-12-11 09:06:27.060557
The Glittering Court (The Glittering Court #1);https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html;2020-12-11 09:06:27.060557
The Girl on the Train;https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html;2020-12-11 09:06:27.060557
The Genius of Birds;https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html;2020-12-11 09:06:27.060557
The Emerald Mystery;https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html;2020-12-11 09:06:27.060557
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First;https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html;2020-12-11 09:06:27.060557
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.;https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html;2020-12-11 09:06:27.060557
The Artist's Way: A Spiritual Path to Higher Creativity;https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html;2020-12-11 09:06:27.060557
The Art of War;https://books.toscrape.com/catalogue/the-art-of-war_838/index.html;2020-12-11 09:06:27.060557
The Argonauts;https://books.toscrape.com/catalogue/the-argonauts_837/index.html;2020-12-11 09:06:27.060557
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job;https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html;2020-12-11 09:06:27.060557
Suddenly in Love (Lake Haven #1);https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html;2020-12-11 09:06:27.060557
Something More Than This;https://books.toscrape.com/catalogue/something-more-than-this_834/index.html;2020-12-11 09:06:27.060557
Soft Apocalypse;https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html;2020-12-11 09:06:27.060557
So You've Been Publicly Shamed;https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html;2020-12-11 09:06:27.060557
Shoe Dog: A Memoir by the Creator of NIKE;https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html;2020-12-11 09:06:27.060557
Shobu Samurai, Project Aryoku (#3);https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html;2020-12-11 09:06:27.060557
